用户名,性别,评分,城市,评论,用户等级
珞琪,2.0,3.5,洪湖,让我们进入道德与法律界限进行思考，也许是电影的意义,1
jmo299081967,,4.0,秦皇岛,结局估计就是为了过审,2
四喜,2.0,3.0,呼和浩特,看完当晚做噩梦了……,2
无尽疆域,,5.0,合肥,每个演员每个表情都很完美,3
遗憾的天空,,5.0,修武,男主人公挺感人的,2
14:00,,0.5,厦门,抄袭印度电影,1
清扰.,2.0,5.0,广州,赞赞赞   ,2
霞霞,2.0,4.0,佛山,男主挺厉害的,1
堃(振焜）,1.0,5.0,成都,年底很不错的一部电影,4
UgK715694062,,4.5,石家庄,前期音乐的喜剧风格与后面剧情有很大落差，两个母亲互相看着颤抖时很厉害，不错不错,3
极度暴躁的Warrior,1.0,0.5,西安,抄袭印度电影 垃圾！,2
Jessie ,,5.0,广州,太精彩了，无论剧本还是拍摄都是中国电影第一梯队，在好莱坞也是上上乘之作,2
KBP608850958,,5.0,长春,非常好看！！,1
。,,5.0,石家庄,细节真的超棒！,1
赵亚,1.0,5.0,深圳,评分高确实有道理的。。情节、铺垫、蒙太奇都不错。。。,2
jeo486115607,,5.0,广州,呵呵红红火火,4
思晔007,2.0,4.5,昆山,值得一看的影片，谁都有被黑恶势力压迫的时候，是正面反抗，还是弱弱妥协？男主第一时间选择保护好自己的家人，这才是男人撑起的家。素察这个问题少爷的根源在于原生家庭的溺爱，做错事总归要承担后果，只是被活活埋在棺材里死去也是极度悲惨的！两个家庭的悲剧！,4
yIy993563387,1.0,5.0,西宁,伦理道德、家庭观念、社会法制。。。,3
aDv391511703,,4.0,慈溪,很精彩~值得一看,2
郝禄嬿 -润声,,5.0,惠州,好看，全程无尿点,2
狗尾巴草,1.0,0.5,深圳,抄袭…………,1
陆阿舍,,4.0,百色,完成度很高的，好,4
筱筱,,5.0,庆阳,好看👍真心不错,4
潮77cent,1.0,5.0,广州,还可以，不错鼓掌,4
Amber,2.0,5.0,太原,值得2刷推敲,3
🎀朱丽欢,2.0,5.0,广州,太好看了吧 值了,1
清欢,,4.0,南昌,没太看懂，回来还得搜一下是什么意思,2
珍珠,2.0,5.0,南宁,很感动的电影值得观看,2
一起看,,5.0,北京,很好看！演技一直在线,2
╭ 尛丶狐狸,1.0,5.0,昆山,全程剧情精彩紧凑，希望中国电影能多拍点类似的电影。另外最终主角自首不是很恰当，希望以后的电影不要为了过审而影响剧情。这样的剧情，总觉得差点什么，不符合现实。,3
往事随风而去吧,1.0,0.5,廊坊,太不给力了，没啥意思,1
elasticity,1.0,3.5,南京,"结尾细思极恐。
从单纯的掩盖罪行到后来的打砸抢烧的暴乱，人家只是想找到一个契机宣泄内心的不满，而真正的结果是什么，并不在意。",1
Outsider,1.0,5.0,武汉,太好看了吧！！！！,2
雪 雁 ,,4.5,杭州,前二十分钟有些昏昏欲睡的感觉 越到后面越精彩 特别是开棺找尸体那一部分 紧张又让人心疼 ,2
A娟子美容会所欢迎你13991261077,,5.0,阎良,非常好，我是一位母亲，看到最后每个母亲都应该想看到一个健康的孩子长大。,2
易寒,,5.0,广州,我感受到母爱和父爱的伟大,1
一见如故,,5.0,天津,真的不错，让我学会了男人的担当,3
死海,,5.0,深圳,电影还不错，就是旁边3个女的一直电影开始到结束**，服了，素质低下,2
桂圆宝521,2.0,4.5,西安,扣掉的这一分是因为结局。前面真的挺不错的，情节很紧凑，演的也不出戏。唯一失败的就是结局，单纯为了道德而道德，和几年前泰国那个天才抢手一样，结局太突兀了,2
🔆🔅💓ℽ________________ℒ,2.0,5.0,东莞,好看、伟大的父爱,2
Eason,,2.0,北京,近日電影黑馬《誤殺》情節與日本推理小說家東野圭吾的原創獲獎作品《嫌疑人X的獻身》雷同，依據東野小說拍攝的電影有日版韓版及中國版。有影評人談《誤殺》翻拍自印度电影《误杀瞒天记》，未觀印片不妄語。~2019-12-26,4
庄松兴,,5.0,襄阳,很有教育意义的影片，家长和学生都有需要反思的地方！,2
平淡,1.0,5.0,贵阳,肖央成功转型内容很丰富也很精彩感觉就好像很久以前就看过了！,2
十是十,,5.0,中山,好看，意想不到,2
Nausea318,1.0,4.5,威海,一般吧，没有那么好看。,2
张1全2蛋3,,4.5,济南,因果轮回，到底谁是最后赢的那一个，或许都没有赢过。两个母亲对峙的那一刻，很伟大,3
ojE115566789,1.0,0.5,深圳,能不要抄袭吗？,2
原仓鼠,2.0,4.0,上海,"周末看了。这一部完整的悬疑犯罪片。肖央是一个有血性，有战斗精神的温情父亲角色，他的角色非常讨喜，符合当下普通小百姓的父亲视角，既有斤斤计较，葛朗台的一面，也有妻女面对困难，勇于承担责任的伟岸形象。
差2分，里面有一些剪辑，重复啰嗦，🙃🙃🙃，没有一气呵成的感觉。不错，可以把里面提到的电影片段，再重新看一遍。
看过一千部以上的电影，就没有什么不可思议的事情。",2
心灵哭泣的天使,2.0,4.5,睢宁,这个是真的好看，有情节，而且比较曲折，比较精彩喜欢看,2
單手撫弦,,4.5,阎良,好电影，但融了好多梗,3
123 三金,2.0,5.0,武汉,好看好看好看,1
璀璨之星灬,1.0,5.0,乐山,剧情十分精彩，环境好,2
忘川,1.0,5.0,咸宁,演技堪称无敌,3
灵魂患者,,5.0,常州,不错 这剧情我喜欢,3
Blh714743131,1.0,5.0,唐山,电影真的可以为所欲为,1
枫桥夜泊 Savvy 衡江,1.0,4.0,珠海,剧情紧凑，硬伤也不少。强行和谐的结局，事发时间链的错乱,3
小赖,2.0,5.0,佛山,"好看，非常好看
",1
慧慧,,5.0,衢州,好看，满分都不够,3
liulian050611,2.0,5.0,郑州,好看，刺激！越来越喜欢肖央的演技了，真实不做作,3
°,2.0,4.5,闽侯县,好看了真的挺好看的,2
沙囹果,1.0,4.0,普洱,背景设定再优化下就完美了,2
希斯莱杰,1.0,5.0,淄博,挺不错的👍推荐,2
   baby。,2.0,5.0,昆山,都是实力派演员，演技超棒，反正我是爱了，我是从抖音看到好看才专门去看的，天道轮回苍天饶过谁善有善报，恶有恶报。,2
我是诗歌,1.0,5.0,海口,父爱如山，一个家庭父母永远总是为子女遮挡风雨  珍惜眼前人吧  不要等失去啦才理解父母,4
李腾,1.0,5.0,林芝,好看，不错，非常好,4
逝去的三年,,4.0,上海,剧情还不错的,5
廖廖,,1.0,乐山,这电影就是和外国片完美犯罪一模一样，盗版浪费钱,3
sunshine147,2.0,1.0,上海,一部莫名其妙的电影，洋不洋中不中的，中国人演的外国片，且主题思想莫名，最后好人坏人一锅端了，心情超压抑，主题思想莫名的一部电影，绝对不值这票房！,2
老干爹,1.0,4.0,重庆,因为很喜欢的人一起去看的，特别喜欢,2
smile.,,5.0,广州,好看，又又學會了一個手法,1
zguoqiang_53018A,,3.5,长沙,剧情是之前国外一部电影情节改编的，不适合未成年人看，容易模仿,2
蓝色的红毛兔,1.0,4.0,盐城,还不错呢，比原版也不差。,3
念,2.0,5.0,峨眉山,好看好看，不愧是电影黑马🐴 ,3
烧包💫,1.0,5.0,邢台,"
剧情不烧脑，易懂
",1
laobin001,,5.0,南宁,不错的电影，挺好看的,2
pro.long,,5.0,成都,很好看，人性与法律的探讨,2
琑住YiBo的七果儿,,4.0,大同,还可以 有意思,3
孤烟独饮,,3.5,惠阳,"还行吧
建议观看",1
格桑格桑的v,2.0,5.0,滕州,牛掰！不容错过的好电影,3
oLi894048105,,5.0,北京,"虽然是翻拍，但有自己的特点。
肖央演绎出了作为一个父亲为了自己家庭的那种承担，小女儿的演技也很好，让人看了很心疼。
陈冲冲小女儿嚷的时候真的让人不寒而栗，一切都很自然的发生。",3
wei,2.0,5.0,东莞,很好看，值得去看,2
IvT484974186,2.0,4.0,平山,挺好吧，看着还行,4
墨菲酋长,1.0,4.0,三河,"最大令人不能忍的bug是，素察怎么就对平平和她妈妈完全是自找毁灭的施暴，就算他再不懂事？他的动机和性格描写也太令人不信了。也并没多觉得平平可以老实到令男生随意欺凌，起码她的表演相上也并没有令人信服。至于结尾的和谐，是能上映的基础。除此外，其他部分都蛮好。

ps：赶快梳理一遍自己的观影记录。",4
陈宗旭,,0.5,天津,就是印度的瞒天误杀记，别看了,3
时梓涵Arno shi,1.0,5.0,东阳,很好看，期待误杀2,3
人生没有如果,2.0,5.0,昭通,"喜欢，很好看！
一个平凡的男人，做了不平凡的事，用自己的方式在那种社会背景下去保护自己的家人！",2
湫,1.0,5.0,天津,没看之前是抱着消磨时间的心态进去的，看了之后真是出乎我的意料，真看的值了,2
ebP352329557,,5.0,广州,挺好的，很不错，值得推荐,2
whitetea_flower,,5.0,上海,特别好看很刺激,2
tanluanzi,,5.0,天津,影片最后，小女儿学会了“用涂改液改分数以实现得到口琴的目的”是影片的警句和神来之笔。,2
AN利利,2.0,5.0,九江,从头到尾看的心脏砰砰跳，久久不能平复，伟大的父爱,2
姜亮,1.0,4.0,上海,还不错，继续加油,1
牛奶胖舅舅,1.0,4.5,东莞,一个伟大的父亲,3
DjK328405,,1.5,合肥,"这样一部电影竟然被打了9.5分
",4
演技派太少了,,0.5,鸡西,陈冲那个要挂的更年期马子，哪还需要误杀什么呢？不杀都快进骨灰盒的呢😁😁😁,4
宝藏女孩耶耶耶,,4.5,石家庄,影厅环境很好，座椅很舒服，二刷误杀，依旧精彩！,2
luchaomr,1.0,5.0,上海,翻拍的很不错，让人想看原版,3
沉香,,5.0,成都,惊心动魄，一直没喘过气来。,2
Amy,2.0,4.5,南昌,全程轻松搞笑，最后感动,1
yy,2.0,4.0,阳江,非常非常非常棒,1
🔩王🔩二🔩小🔩,1.0,5.0,昆山,直击内心，情节曲,3
随风总过往,2.0,5.0,许昌,一秒拉回 天空之城 ，旋律。,4
百里丛林,,4.5,武汉,肖央演技炸裂…太爽了,3
王。,1.0,5.0,遵义,很不错的电影,3
RUw893253372,,5.0,双鸭山,不错哦 自己来得时候是包场的,3
aKY465404747,,5.0,成都,这真的是我在电影院看得最爽的一部电影了，全程无尿点，改编的也很有深度,2
秋,,5.0,吴忠,难得的好电影,2
桃子楠,1.0,5.0,铜川,好看，完美的一部犯罪片,2
纪政123,,5.0,海口,超级好看🙈🙈,2
纯情的小怪兽,,4.5,宝应,还不错，情节很不错！故事很感人！,4
陌、,1.0,4.0,广州,剧情和一部印度电影差不多，真的太像了,1
刘小倔692,1.0,5.0,盘锦,内容很丰富啊,2
🌹看尽人世繁华。🌹,2.0,5.0,南昌,非常好看，值得看的一部电影。,2
🙃,2.0,5.0,邯郸,好看。。。。。,2
溪梦赢,2.0,4.5,镇江,电影情节紧凑，故事完整。本来冲着陈冲，陈思诚看的，男一号肖英演技很好。确实是2019年度最佳影片！,3
韬瀚,1.0,0.5,昆明,抄袭印度电影,3
afI460171548,,5.0,重庆,好看的好好好,2
Justin姜Sir,1.0,5.0,常州,还不错……值得看,2
EBn911204088,2.0,5.0,贵阳,负责任的父亲，家庭感十足的母亲，孝顺的女儿们，正义感十足的朋友们。为了权利财富放弃自己的孩子的父亲，徇私枉法为了真相的母亲。现实感非常棒,1
周小贤Andrew,1.0,4.0,武汉,电影不错，是今年看的比较好的一部影片，虽然对于演员不太熟悉，但演技都是肯定的，唯一不足就是这部电影之前看过印度版的，因此，提前知道剧情，大概八九不离十，希望以后多点创新，拍出自己的片子！,1
王啊啊723,2.0,4.5,石家庄,最后是升华吧看的起鸡皮疙瘩！！那个小女孩的镜头吓死我,1
baidx1988,,4.5,深圳,剧情很好，一部很值得观看的影片,3
xjZ175787991,,5.0,秦皇岛,片子很好看 故事紧凑 一环套一环 肖央演技炸裂 父爱如山 超级棒,2
原来名字真的真的可以那么长的啊,1.0,5.0,广州,这部片是我今年看得那么多电影里面最好看的了，类似全民目击。喜欢喜欢喜欢得不得了。,2
终黎苒殇,2.0,5.0,湖州,年度最佳 好看,3
ggV380789012,2.0,4.0,巢湖,很好看，父爱很感人,2
Ztu601008668,,5.0,海口,挺好看的，比叶问的好看,3
Dwz688333106,1.0,5.0,合肥,人性的弱点，精彩的剧情，演员的诞生,4
kaliucici,1.0,4.0,深圳,谭卓咬牙切齿顫抖的对着陈冲说“别人的孩子是孩子，你的孩子是禽兽”,2
约翰丶法雷尔,1.0,3.0,哈尔滨,前期剧情紧凑，逻辑也比较合理，但结尾很突兀，不太合理，那么可能有的人会说是因为男主想自我救赎，给小女儿树立好榜样，但这样的结局又会使之前一个多小时的铺垫毫无意义，男主自首的结果，第一，会让boss官复原职，因为她的想法是对的，即使过程不合理，这会使她报复主角一家更加毫无顾忌，第二，这会寒了那些支持他，相信他的群众们的心，第三，这件事其实已经上升到普通民众和上层人士之间的斗争了，男主身为导火索，他的认罪几乎就等于在这场斗争中，普通民众输了，上层人士以后压榨普通民众只会愈演愈烈，百害而无一利，前一秒还口口声声说要挡在家人前面，后一秒就等于把家人全部推进火坑，人物塑造太矛盾了。,2
chris,1.0,5.0,上海,这几年所看电影里无论国产进口，这部片子可排前五，我以后得研究下肖央的演技了，比那些科班专业的出色的多。,2
洋葱头6078,2.0,0.5,佛山,天呐、那个陈冲就像巫婆、啧啧、简直了、本来想给满分、陈冲啧啧实在是可恶,4
小宇8683,1.0,4.5,资兴市,非常不错的电影,2
北枯栀寒,1.0,5.0,台州,还可以的呢。,1
文静LOVE宝贝,,5.0,贵阳,很好看                 非常好,3
dBQ543886695,,5.0,长沙,这个剧情很紧凑，比印度的要好看,3
金克斯的魔法世界,,5.0,攀枝花,太精彩了，比原版精彩,1
gUI422343456,,5.0,长春,好看推荐去看,2
活着,,1.0,南京,如果这叫“翻拍”请解释一下什么叫做“照搬”唉唉唉“BUG”遍地，苹果砸烂了还能开，而且不用解锁........,2
ᶻ注定孤独终老ᴮ,1.0,4.5,兰州,吃喝真贵很贵,2
hVM890929233,1.0,5.0,呼和浩特,不错，高智商犯罪,4
我是你的小蜜蜜Honey,,5.0,江阴,超好看。关键在于演技。每个人的演技都超好。,4
vjv970093857,,4.0,酒泉,不错，值得一看,2
qzuser,1.0,5.0,上海,整个剧情环环相扣，非常有逻辑。结尾的彩蛋也是非常的惊喜！！与开头相呼应发人省思！！！终究是成为了自己故事中的人物w,3
x512113,,5.0,天津,跟官斗，老百姓只能用智商了！逼的！,2
影评诗人,1.0,5.0,成都,"这是一场影迷的狂欢盛宴。无数镜头与桥段致敬了无数经典电影。作为影迷的你，是否想过像李维杰一样“看戏人终成戏中人”？是否想过把现实导演成属于自己的完美作品，让这一切的情节故事都由你编织？
这是一次剪辑师的曼妙旅行。“蒙太奇”的出现瞬间点燃了剪辑师的兴奋点，打破时间与空间界限的镜头重组是一种创造。蒙太奇与悬疑的精妙契合设下天衣无缝的迷局，而打开迷局的钥匙却只在剪辑师的手中。",5
H,,5.0,晋江市,看不懂最后那个人在笑啥,2
袁献可,1.0,4.0,上海,这部电影，如果早五分钟结束。我就给五星,1
黯戀,1.0,4.5,金华,虽然看到结束都很压抑，但是很精彩,2
dQk207541741,,4.5,上海,精彩，值得看第二遍，感觉忽略了很多细节，画面，节奏，暗示，暗黑，天这是最近上映的片子最让人鼓掌叫绝的一个,3
aDj342298472,,5.0,惠州,不错不错(*๓´╰╯`๓)♡故事跌宕起伏,2
Jason亮136,,5.0,东莞,拍的很好，真棒👍,4
zID601793930,2.0,5.0,重庆,完美，超级好看,2
qFu334869169,,5.0,济南,绝对的完美，中国幽默与悬疑的巅峰之作，估计最近一段时间，不会用超过这个电影的电影出现。,2
rDl912781413,,4.5,郑州,细思极恐，看的时候感觉有点没意思，但是看完之后发现有好多伏笔，九分肯定是有了,1
nabuqi   ,,5.0,呼和浩特,值得彭场的一部电影   。跟家人一起看的 ❤ ,2
rxx917,,5.0,洛阳,有血有肉有担当,2
心中有曲自然嗨！,1.0,5.0,林州,片中的主人很聪,2
小螃蟹的酸菜鱼,,5.0,上海,好看的一笔啊,3
吃货小夹子,1.0,5.0,福州,好看，能得不错的,3
NdZ419595889,,4.5,中山,好看好看 还挺好看,3
山西冲锋号国防教育*赵继兵,,3.0,太原,演员很喜欢。感觉剧情有抄袭,3
Ayomi💞,2.0,5.0,长沙,我觉得尸体被吃了你门觉得呢。,2
思前想后wu,1.0,5.0,广州,国产片来说，还算是不错的作品了。回来准备再看看之前印度版的。,3
ddJ239181235,,4.0,鹤山,值得观看。扣人心弦。,3
麻麻子.,,4.0,景德镇,如果不是这个中国式的结局 我会给9分以上，看到快结束的时候太失望了,2
A郑永钊,1.0,4.5,邯郸,不错的不错的,3
jUC960207688,1.0,5.0,曲靖,不错，高质量，希望我们的社会会有所改变，虽然结局不如意，但是为了过审十分给了 ,1
vLy853607531,,5.0,清镇,好看 特别好看,2
胡桉涛,,5.0,成都,真的好看，非常棒,3
QJS614505235,,5.0,昆明,太精彩了，比想象中好看的多！,2
zKA291582946,2.0,5.0,合肥,好看，值得看,5
Crystal,2.0,4.5,清远,肖央可以说是从歌手已经蜕变成了演员。单看剧情，想起了前几年的《全名目击》，当时觉得孙红雷演得不错，现在想想，有点过了，,2
tkH270818035,,5.0,蚌埠,非常好看的电影,1
雄霸天大佬,,5.0,乌鲁木齐,太棒了，今年看过的最最最好的悬疑片，谁看谁知道。超赞，,4
GUx334782948,,5.0,武汉,好看，真心好看！剧情非常好！扣人心弦,3
大白菜,1.0,4.0,上海,"没有一个犯罪是无懈可击
往往直指人心",4
EKL118274985,1.0,4.5,攀枝花,好看，推理小说的感觉，又不是那么烧脑。,3
天涯咫尺YLW,,5.0,西安,一个人看电影，貌似也不错😂,4
Sgo138070854,1.0,4.5,温州,太好看了 中国电影越来越好看了 男主的老婆真像熊黛林 剧情是象那部《嫌疑人的献身》其他都做的很好了就是结尾没有《嫌疑人的献身》那样完美 《嫌疑人》最后主角的自首是因为知道自己设计的有瑕疵迟早要露马脚被逼无奈自首的 而本片男主的自首有点突兀，根本没必要自首的，把主角高大化了反而不真实也没必要.,3
小二丶张,1.0,3.0,中山,翻拍印度电影，剧情可以，个人不喜欢结局,3
gangca,2.0,5.0,上海,好看不解释！逻辑推理合情合理,3
徐77,,5.0,咸宁,奈何老衲没文化 一句**定天下 国产黑马 看就完了！,3
王宇存,1.0,4.5,苏州,"世间的所有善恶到头终有报。
可怜天下，父母心。",5
轨迹,2.0,5.0,河池,"印象深刻的几句台词
我是一个没什么本事的男人
也没能让你们过得好一点
唯一能做的就是挡在你们前面",1
NUf226635869,,5.0,新乡,电影很好看，非常值得,3
🌸我愿久居深巷只为守一人💞,,5.0,济宁,特别好看，感人,2
史上第一混,1.0,5.0,从化,非常好的一部电影 很值得观看,2
争困,,5.0,上海,非常 的好，,2
今夕何夕,,5.0,亳州,今天和闺蜜一起看了真心好看正义感惊心动魄的一部好电影，告诉我们一定不要犯罪。热爱社会热爱生活，值得一看,1
DCv383418482,1.0,4.5,北京,环环相扣，非常不错，值得看,4
FX＠X熙,2.0,5.0,深圳,真的还不错的片子，各位主演在线飙戏👍👍每次看陈冲老师都能带来不一样的震撼，节奏紧凑，剧情中的小人物生活气息很强，值得一看,2
空中楼阁,1.0,5.0,广州,非常好看，各种反转,3
明汖阁主,,5.0,济南,非常好的影片，肖央演技依旧好，如果没有结局的狗尾续貂，就完美了（为了过审可以理解）,4
你饿了吗🧸,2.0,1.0,深圳,提前5分钟进场就开始了放了很久了没看到开头本来应该12.10才放完我们看到11.30多分就没了 才看一个多钟还有四十分钟意思是整个电影提前放了40分钟中影也是服了,1
hzf18676917468,1.0,4.5,东莞,不错！值得一看,3
海哥LOVE,,4.5,玉林,还行吧，觉得还不错。,4
TsQ393056714,,0.5,贵阳,看在影星的面子上给的、结局很狗血、很垃圾、翻拍也没有尊重原创。请导演扪心自问一下是不是找不到题材了？还是说结尾不该动就可能审不过？？？？？？？？,2
pSv601825651,,5.0,天津,十分好看，就是结局为什么自首，符合社会主义核心价值关吗？,2
bowen1014,1.0,5.0,北京,主线节奏很快，渲染情感多于逻辑推理,1
Cey296570579,1.0,5.0,北京,环环相扣，很多情节也是开放式的，有多种结论可以推出，值得多看几遍的电影，肖央演技很棒,3
黄馨洁,2.0,4.0,成都,剧情很不错，陈冲演技一级棒，就是结局那个自首有点狗尾续貂,4
JeP318046534,,4.5,广州,故事情节和演员演技都棒棒哒,4
碧海蓝天,,5.0,苏州,一个平民父亲伟大的爱,2
JANGDX,,5.0,顺德,很好看，😏😏😏,3
陈挽阿,1.0,5.0,淄博,肖央的电影一直很不错.看了一半我就知道能猜出来结尾.然后有个笨蛋去百度结尾还给我讲.哈哈.如果结尾市长夫妇估计不去找肖央的话估计肖央也不会去自首吧……最后跟笨蛋在哪儿等彩蛋最后彩蛋都过去了还在等结果笨蛋又百度了一下说肖央抬头看天空不知道看什么就是彩蛋！！！！全场就剩我俩人了……大打扫卫生的大叔都打扫完了！电影很不错.期待肖央的下一部电影❤️,2
mushi,1.0,3.5,中山,中间有很多致敬经典电影的梗，bgm有几处略显违和，部分细节显得有些用力过猛。     总体来说还原得挺不错的，只是不知道这个评价对于一部翻拍电影来说是好是坏，结局大概是为了过审而做了修改，但还是感觉有些扯淡。,4
ozu702636173,,4.5,邢台,好看(｡･ω･｡)ﾉ♡,2
Mix599955584,2.0,5.0,北京,挺好的，喜欢,3
钱小样,2.0,4.0,瑞安,看了有点难受、心里堵得慌……,3
陈小欠是个好青年,2.0,5.0,濮阳,肖央一个臭唱歌怎么演技这么好,1
梅,2.0,5.0,荆州,非常值得一看,2
上了马路牙子,1.0,5.0,咸阳,好看～如有第二部，再来点啥剧情！,1
Dooya,1.0,2.5,常州,中国人多，中国人也没看过什么好电影，中国式翻拍高分电影也是很有市场的。原片的精髓是对政府腐败的讽刺和抗争，翻拍影片的精髓在于血浓于水的亲情，感动得我都哭了。什么？你说这是推理悬疑电影？,4
湮落去年,,5.0,无锡,每个演员的演技都很牛逼。屌屌的。没念过啥书。千言万语汇成一句话，**，牛逼！,2
余,2.0,5.0,重庆,演技非常棒，每个动作眼神都非常到位，全程惊心动魄,2
SKY 扶摇,,4.0,乌鲁木齐,这部影片总的来说感觉不错，表现的是警民直间不和的关系，相对原版有了一定的改变和延伸，剧情跌宕起伏，很吸引人，逻辑推理以及情节呼应十分典型，给人以真实和紧张感。演员演技在线，唯一美中不足的大概就是配音的小瑕疵吧。,1
凡俗者,1.0,4.0,西安,还不错，情节紧凑,2
吴玉峰271,1.0,5.0,长沙,最后颂叔那个镜头:一片空白，有点像小学时写作文，下回分解！,1
爬爬树,2.0,2.0,常州,翻拍印度片完美犯罪，结尾还这么狗血。,3
指纹zhi,,4.5,广州,以前以为肖央只能演演喜剧，充当搞笑角色，看到这部片子发现肖央真的演技炸裂。片子的很多细节处理也很到位，悬念架设的也很给力，不失为一个好片子。,1
VOY874999842,,5.0,韶关,好看！真心好看！,2
@黄二德,1.0,5.0,太原,很好看 很完美的犯罪,2
李明洋,1.0,5.0,佳木斯,绝对精彩，奔着肖央的演技来的，本以为期望越高，失望就会越大，没想到重新刷新了我对演技的认知，肖央的演技简直就是一个黑洞，永远不知道藏了多少东西。导演选角色独具眼光，编剧写出了不错的剧本，喜欢。,1
GGBoy就爱吃饭,,5.0,保定,奈何没啥文化只能说 ***的好看了……,2
Rampant,1.0,4.5,银川,电影挺好的，整体氛围很不错😀 ,1
qHq478306974,,5.0,吴川,好看，不错，精彩,3
月光不再皎洁,1.0,4.0,石家庄,本人属于看片还算挑的，这个在国产片属于还好的，结尾有毒，不能接受，据说为了过审，中途有吐槽点，逻辑漏洞，导演反正没给我圆过来。不过故事还算完整，随便看看就好。,2
GlX362786675,,4.5,南宁,好看，还是有点新意。,3
Zhang冉冉,2.0,5.0,都江堰,一个男人可以没有很多钱，但关键时刻能站在家人前面，你就是条汉子了！有点伤心！一部走心剧！,3
ApF699264848,,5.0,南昌,很好看！！！！！,2
呐～我是丁梦颖,1.0,5.0,乌鲁木齐,好看(｡･ω･｡)ﾉ♡,3
行者墨脱,1.0,4.5,遵义,虽然不是纯原创，但国产电影能拍到这个程度很棒了。,2
平文峰,,4.5,上海,看了就感觉自己的孩子怎么办呀，有感觉这个社会好不安全，没有安全感，社会好乱,4
不懂5881,1.0,5.0,福州,很好看，看完以为自己看懂了，再看了评论之后才知道漏了那么多细节，特别是电影名《误杀》。,2
_qq8wm1440905378,,5.0,贵阳,太感动了就是不喜欢结局,4
乔乔8023HXT,1.0,5.0,重庆,非常不错，值得看,2
乔仙九.,2.0,5.0,石嘴山,太好看了 伟大的父爱一波赞！！！就是开头和结尾没看懂,2
小兵,1.0,4.5,顺德,扣人心弦！感觉自己就是杀人犯！最后这个父亲的一句话、（我本来就没什么本事、出来事我必须挡在你们前面，瞬间泪目）,4
徐雨,,5.0,广州,超级好看，以后我就是肖央的**粉了！,3
WWV639400291,,5.0,西安,剧情很好、演员演的也好,4
李子先生,1.0,5.0,洛阳,电影中羊的意向一共出现了七次。第一次是片头【误杀】两个字出现时有声羊叫，接着出现的画面就是男主进行第一次布施，有羊跟随着僧人，代表着善。第二次是男主去湖边抛车，有羊群路过，男主掩埋真相的过程被羊凝视。第三次是男主和警察发生争执，警察本想开枪打他最后打死了路过的羊，羊替男主死，代表牺牲。第四次是警察去学校找大女儿的时候，老师正在讲“羊视力不好，很容易离群，被大型动物吃掉。”羊视力不好，唯一见证男主罪行的羊其实并没有看清过程，给男主作证的人们也并没看清事实的真相。离群，容易被大型动物吃掉，表明羊需要在群体里才能更好地生存。第五次是开棺验尸，素察的尸体换成了死去的羊，代表替罪羊，第六次寺庙救赎羊,2
快快给我送饭饭喔,,5.0,杭州,高智商烧脑电影,2
WLt450556428,2.0,5.0,徐州,非常好剧情很精彩,3
YMs936801384,,5.0,惠州,真的是一部很好看的电影一位平凡的父亲展现出伟大的父爱看着很心痛，影片很多细节局长儿子是被活埋死的，为什么自首也是因为自己的父母是死于暴乱而自己引发了暴乱，也毁了对方父母是一位善良有信仰的人，也暗喻当时政府滥用职权欺压百姓的反抗。最后肖央那两句话真的感动到我了，真的有担当的男人太男人了！,3
A...热心市民康先生.🇨🇳,,5.0,临潼,给10分！ 很好看。 就算是翻拍也比国内的垃圾电影好多了。,2
js玩家0901,,4.5,深圳,很推荐，虽然不是明星云集，但是剧情和演员的表现还是很棒，比起视觉大片我还是更爱这个，高评分是有原因的,3
蓝星,1.0,5.0,北京,剧情环环相扣，电影节奏感把握很好，肖央的演技真的好，女警长演的也张弛有度，很好看的电影,3
kittyysc,1.0,5.0,合肥,不错😊值得一看,4
东邪,,5.0,贵阳,心情复杂。。,4
life131457,,5.0,上海,非常好的电影，不错,2
JTB511172430,,5.0,石家庄,挺好看的电影,2
意犹未尽lx,,4.0,十堰,片子很好看，看到了谭卓和肖央两位演员的潜力，全程高能就是最后结局有点太官方了，中国电影缺的就是黑暗一黑到底，黑暗如果可以战胜光明那才真实。,3
寧枫,,5.0,南京,超级棒，很好看,3
狐仙姐姐,,5.0,苍南,完美犯罪超牛,2
m903356017,1.0,5.0,赣州,很好的故事！,3
XfM485066639,,4.0,沈阳,还行两个妈妈之间的对视无敌了,2
czhong7,,3.0,青岛,第一次看中国这种题材的电影，挺有满足感，可能韩国同类电影看多了，情节太单薄了，没有感觉很烧脑，对肖央的演技不太满意，看他演没什么带入感。,3
南山岭,,0.5,平顶山,完完全全的借鉴和致敬，我对这类没有任何创新的电影毫无好感。希望国产电影也能讲好自己的故事，而不是四处借鉴和模仿。,1
SFo492229053,,4.5,莆田,最后棺材板上的2个血手印，太惊人了……尸体大概已经烧成灰，当肥料了吧……,1
繁华如夏冷寂如秋,2.0,5.0,郑州,挺好的，没有看过原版，这个挺精彩,3
亚索哥哥家的小娇妻呀~,2.0,5.0,宜春,好看，刺激，,2
熊猫团团长🙃,2.0,5.0,青岛,好看 喜欢💕,1
虞秀明,,5.0,合肥,翻制电影，有意思吗？创作是需要灵魂的,2
专业跑车30年,,3.5,简阳,跟阿三的一部电影剧情简直就是一模一样,1
