用户名,用户主页,推荐星级,评论时间,短评信息,投票次数,城市,用户签名
吃人的教条,https://www.douban.com/people/189416229/,很差,2019-12-13 00:48:50,什么时候演技成了评价一部影片好坏的标准了… ,39,四川凉山,无签名
张大水,https://www.douban.com/people/1693422/,推荐,2019-12-22 21:43:55,调查观影记录的时候，应该植入一个豆瓣的软广。,10,湖北武汉,无签名
李小丢,https://www.douban.com/people/Luna-cat/,还行,2019-12-18 23:50:01,建议看原版《误杀瞒天记》，为了过审拍的那个结尾真是如鲠在喉，导致前面100分钟拍的东西都没意义了。带着镣铐跳舞，拍的人和看的人都难受。,9,北京,害怕的事越多，能做的事越少。
眠去,https://www.douban.com/people/rebekah/,还行,2019-12-13 19:12:48,比印度原版改编得更简洁顺畅，但结尾改得四不像，太想耍小聪明了。肖央让人出戏，陈冲一如既往地稳，局长和母亲这两种身份转变自然，表演的层次感非常让人享受。,5,山东青岛,无签名
Pan小月,https://www.douban.com/people/panyuning/,还行,2019-12-16 22:39:41,首先我没看过原版。虽然很多朋友都强烈推荐这部，但我还是得忠于个人感受，记录一下自己的真实观后感，就是……我觉得，很一般。一个脸谱化的简单故事。有不少人写了好长的深度解析……这片子没必要过度解读吧……我个人真心觉得，从哪方面来看都很普通……因为推荐的朋友太多，我甚至有点不敢说我觉得它一般……,13,北京,www.xiachufang.com
肖浑,https://www.douban.com/people/xiaojia86/,推荐,2019-12-18 18:14:47,印度的原创，韩国的梗，泰国的取景地，东挪西借终于捣鼓出这么一部过得去的悬疑片，不容易。泰国或已在陈思诚带领下跻身中国犯罪悬疑片首席飞地，不过此片中说的也不是泰国而是“赛国”，结局也是一如既往的中国特色。,5,河南郑州,相奸时难憋亦难.
瓜。相信这个世界很变态。,https://www.douban.com/people/melonsa/,还行,2019-12-18 23:53:27,两个中国人怎么生出来一个泰国人？,6,广东广州,无签名
小A,https://www.douban.com/people/AngelinaAnne/,推荐,2019-12-21 12:35:44,“哪里有压迫哪里就有反抗”的意识形态永远好用。在此基础上剧情一张一弛，有冲击力的信念和行动持续推进故事。只有非常熟悉类型片套路和观众心理的编导能提炼出上述内容，把它打造成非常好的院线片，比如陈思诚，他主导的类型片基本不会跑偏，值得学习。陈冲老师演得太好了！黄健玮瘦得认不出。美中不足是剧情设计还有些粗糙冗余。片中提到男主角反复给大家讲故事加深印象。这也是银幕写作经常使用的手法，比如全片大概五次提到羊，一开场就不遗余力让男主角说“XXX是电影里说的”以增加这些梗的可信度。,2,北京,Poor you...
BlackWatson,https://www.douban.com/people/DoctorHou/,较差,2019-12-18 19:09:11,立意不错的小烂片，可惜中途慢慢就崩了，抄得不伦不类。运送尸体被水管挡住为什么要强行越过水管？不能搬开水管？把陈冲和小女孩拍成如同鬼片一般，侦破过程搞笑，到了“把他最近看过的侦探电影全部找出来！”几乎整个影厅都在笑，结尾认罪也是国产特色。看到那么多公众号、媒体吹嘘这部片的方方面面，包括没什么亮点的陈冲，文案写得规规矩矩，不禁唏嘘现在资本游戏已经潜入到了我们身边的方方面面。另这位谭卓真是梅婷的翻版，这苦脸简直可以胜任各种家庭剧的怨妇。肖央没有崩以及运用山羊是个小亮点。总评除了男主以外其他均小时代水平。,6,浙江温州,谁是华生医生。
sunbloom,https://www.douban.com/people/3276204/,力荐,2019-12-21 15:16:52,我完全相信一个小学都没毕业的人，能因为看了无数部电影而变得智商超群。一个人的双商三观和共情能力，有时候并不取决于受了多少教育，而在于目睹了多少故事和人生。,4,北京,无签名
非魚,https://www.douban.com/people/nofish/,还行,2019-12-28 19:03:47,观影记录要记得删除~,1,"Port-au-Prince, Haiti",童颜巨脸
冬惊,https://www.douban.com/people/rosiel/,推荐,2019-12-13 19:14:21,本工作室为该片翻译了部分剧本和台词本，今天终于看了正片，因为之前没有看到剧情画面，稍微有几句字幕对不上。虽然之前看过了剧本，看正片还是很紧张激动，是一部精彩的悬疑片，几位主演表现不错。,8,北京,无故寻愁觅恨，有时似傻如狂
ZeonGin Sou,https://www.douban.com/people/dkjune/,推荐,2019-12-06 23:13:33,蒙太奇教科书。剪辑相当亮眼。可圈可点的翻拍。演员各种演技炸裂，氛围营造高压十足。种种电影致敬让人会心一笑。李维杰能通过蒙太奇逃过陈冲的魔爪，但也逃不出广电局的五指山——远在泰国又如何。,30,广东广州,现著名伪非GEEK
胖达叔,https://www.douban.com/people/hankerchief/,推荐,2019-12-15 22:10:11,好看无尿点。我看完之后听见后面有人在嘀咕，明明这么多中国人却要把案件发生的地点搞在外国，真是莫名其妙……我还能说什么呢，其实也许绝大多数人并不知道水深火热的处境。,9,Bermuda,你丫闭嘴
aedreist,https://www.douban.com/people/atreides1030/,推荐,2019-12-22 18:53:41,“要留留神，防微杜渐，不要护犊子。干部子弟也要遵纪守法。”——《在第……查委员会第六次全体会议上的讲话》（2016年1月12日）,2,Greenland,+66-8-70447331
悟饭婆婆,https://www.douban.com/people/taizih/,还行,2019-12-13 21:26:54,所有演员演技全都过硬，唯独肖央女儿演的平平的演技比起她的国语水平更让人觉得尴尬。陈冲和肖央的眼神交流、和谭卓面对面的对峙让人看了非常过瘾，最让人无语的仍然是审查制度下的结局了。实话说中国电影诸多限制只会倒行逆施，你越是禁别人越是会反过来喜欢，天下乌鸦一般黑，何必硬把背景搞到泰国。,1,江苏镇江,无签名
宋小君,https://www.douban.com/people/songjunvip/,推荐,2019-12-15 12:16:59,四星鼓励。留下最深刻印象的是那只死去活来的羊。多处细节可见改编用心。这事儿虽然安置在泰国，但发生在哪都不奇怪，要是没有市长选举，怕是最后也难战胜强权。缺点也有，演员演的吧只能说完成了导演要求，没有多少突破可言，偶尔出戏，可能跟置身一群泰国群演中间有关。,3,北京,前面有令人战栗的光辉
我是国王,https://www.douban.com/people/115602389/,还行,2019-12-15 23:22:23,鸡贼的陈思诚,2,"Luanda, Angola",无签名
托xx,https://www.douban.com/people/tuo-xiao-z/,还行,2019-12-22 23:03:19,这结局 ……之前一个多小时为什么要拍呢 搞得很牛逼 还是这下场 不过不改也过不了审吧 改了之后各种怪怪的不顺啊感觉 结尾减1星吧 该猜得到的还是能猜到 小女儿很不错 ,1,浙江杭州,无签名
||:da da da:||,https://www.douban.com/people/60734053/,还行,2019-12-14 00:31:43,6.5分。最后投案自首就直接影响整部电影的高度了，遇到这种事到底应该怎么办！？无奈啊，无奈啊……,5,四川成都,这个世界还是很有趣的 ~
V.Dunham,https://www.douban.com/people/fuclie/,较差,2019-12-24 17:44:52,连家明都不会喜欢这么土的吧,3,Cyprus,没有学会沉默之前，我选择沉默。
魍。,https://www.douban.com/people/wang0926/,还行,2019-12-15 14:46:30,电影可以打4星，如果不是这个结局的话。另外是陈思诚监制的原因吗？为啥男主脸上一直油光蹭亮的？？？？,1,云南昆明,情深不寿。
Reaper,https://www.douban.com/people/dkjcdk/,力荐,2019-12-21 16:40:24,年度华语片最佳！抛开精巧的剧情设置，肖央和陈冲令人印象深刻的演技，以及并不显得肤浅的种种隐喻不说，仅仅是影片所呈现出的对电影深深的爱以及各种各样的并不违和的迷影梗，已足以令人深深动容。作为一个没有足够才华和勇气从事电影行业的人，误杀寄托了我对电影的爱。这是一部教科书般的成熟的商业电影。,1,未知,生活是这样子
cai,https://www.douban.com/people/161892204/,很差,2019-12-29 01:05:28,什么都翻拍，就不能原创？垃圾,0,未知,无签名
Gastronome,https://www.douban.com/people/54154563/,推荐,2019-12-14 22:37:02,我觉得电影真的可以再大胆点 不能接受这个结局 忙活了一个多小时最后全自首了？,4,贵州贵阳,无签名
闹闹,https://www.douban.com/people/wangnaonao/,推荐,2019-12-28 13:53:59,最印象深刻的镜头是陈冲作为一个有权势的母亲在质问作为弱小群体的谭卓饰演的母亲：你也是母亲，应该能理解我保护自己孩子的心情。谭卓一点也不弱的迎上去，一字一句的咬着牙说，有的孩子是孩子，有的孩子就是个禽兽。那一刻，陈冲饰演的那个强势的警察局长，明显弱了下去。,0,北京,无签名
王维涛,https://www.douban.com/people/50859543/,很差,2019-12-22 17:04:34,羊只要能好好的吃草，才不会管是谁在褥他们身上的毛呢。,2,北京,无签名
yo911217,https://www.douban.com/people/yo911217/,还行,2019-12-29 02:02:06,陈冲把反派演的挺好，像一个纳粹女魔头。最后结局相对于原版，强行转折，并不喜欢。,0,江苏南京,落叶孤鸿飞
Y.Phoenix,https://www.douban.com/people/roddickye/,力荐,2019-12-29 00:26:45,刚到1/3时，男友跟我耳语说这应该是根据他之前看过的一部印度电影翻拍的。临近结尾时感觉可以打4.5分，看到政治正确的结局泄了口气，还是4分吧。只是首尾对肖申克越狱手法的复刻和电影开头对肖申克经典台词的运用让我觉得用意耐人寻味。打车时男友又跟我说这剧情跟印度原版几乎完全一样，只是印度版埋的是只狗，这个是只羊。回家路上我一路都在琢磨羊🐑……越想越带劲！牛逼啊！果断5星！,0,上海,无签名
完美的尘土,https://www.douban.com/people/89092816/,还行,2019-12-22 02:20:36,6.5分。各方面都很平庸，尤其想把配乐师拖出来鞭尸，唯一记忆点是谭卓和陈冲对手戏，两个母亲的愤怒,1,北京,无签名
怀山鹿,https://www.douban.com/people/domire/,还行,2019-12-28 23:43:51,陈冲演技爆炸！太强了！威风飒气，刚柔并存。导演的拍摄手法也很定。但是作为嫌疑人的粉丝，观影过程：这是模仿嫌疑人X吗？结尾：？！ 这个剧本接近抄袭了，证据链和献身完全一致。还有山羊的尸体bug为什么直接换成牧羊人岂不是更合适？,0,上海,手中有劍，心底有愛。
谢谢你们的鱼,https://www.douban.com/people/reave/,还行,2019-12-11 22:34:48,很失望，除了肖央的表演和完成度还行的改编剧本，其余部分都很没意思，甚至把原版最后的爽片氛围给推翻了。第二幕的斗智斗勇之后，整部电影不论是情绪还是戏剧张力都在极速下降，导演除了音效和jump scare再也想不出别的营造氛围的方式，而原创部分，不论是《蒙太奇》的提及还是羊的隐喻都生硬得一批。最可怕的是，我从头到尾都没有觉得主角的家庭是成立的，同理，环境的描写也不让人信服，看着非常别扭。,48,北京,无话可说
coconut_milk,https://www.douban.com/people/charleschiu/,很差,2019-12-08 17:04:56,看了828部电影就能完美犯罪 我觉得看了282部电影才能拍出此片 剧情逻辑完全是扯淡一样 真尬,73,广东深圳,岁月无情 苟且偷生
冰镇西瓜橘子水,https://www.douban.com/people/65400706/,推荐,2019-12-13 20:23:52,陈冲质问小女孩那段给我看出心理阴影来了,636,江苏南通,活在裆下
时间之葬,https://www.douban.com/people/ydyie/,推荐,2019-12-04 22:44:36,比想象中更好，在今年的华语犯罪片里绝对是一个无法忽视的存在。整部电影构建了一个看似简单实则极其精妙的“骗局”，让看似软弱无力的李维杰一家，完成了惊人的逆转和反杀。戏里李维杰与拉韫的斗智斗勇，像极了两个犯罪心理高手的对弈，戏外肖央和陈冲也在比拼难分高下的演技。更难得的一点是，导演把这样一个故事放置在一个社会治安混乱，警方失信于人民且滥用职权的架空背景下，于是李维杰一家的反抗，便有了几分耐人寻觅的意味，最后的高潮与收尾，也让这种浓烈的情绪得以慢慢宣泄出来。另外想提的一点是，华语片里终于也植入了数不清的迷影梗和彩蛋，有兴趣的影迷朋友可以动手盘点起来了。,800,北京,无签名
有心打扰,https://www.douban.com/people/kejinlong/,推荐,2019-12-06 20:42:16,用电影《蒙太奇》的手法演绎出另一款《嫌疑人X的献身》。节奏不错，还挺好看，哪怕是国产片中最令人害怕的慢镜头在本片中都运用得不错。,674,福建泉州,好想爱这个世界啊！
SydneyCarton,https://www.douban.com/people/SydneyCarton/,还行,2019-12-16 00:26:25,原来肖央是李安的爹……,21,"Praha, Czech Republic",直男癌
Jupiter,https://www.douban.com/people/131753555/,较差,2019-12-12 01:05:22,"1.按道理可以给三星，但是看到众多恰饭的影评人实在是恶心得不行。
2.片子是不是没有给调色师预算？颜色相当糟糕，看着一度想退场。
3.太刻意，槽点太多，经不起推敲。",101,广东深圳,无签名
把噗,https://www.douban.com/people/babulliu/,推荐,2019-12-10 22:01:25,不错。拍得挺精致，屁民通过电影的知识赢得了胜利，既是现实也是隐喻：观影成为我们这个时代最重要的自我教育手段。说点有趣的，这部电影是不是证明了观影量的重要性，并且在不远的将来，豆瓣有望成为破案数据库？,386,北京,Festina Lente
内陆飞鱼,https://www.douban.com/people/veverlee/,推荐,2019-12-12 09:16:00,喂，肥宅，你看那么多电影有用吗？万一有用呢，难说就是一招制敌的杀手锏了。,335,云南昆明,因雨成歌
木石子,https://www.douban.com/people/146536630/,较差,2019-12-06 14:56:20,看完总觉得哪里有问题，但说不上来，直到看了原版，总算明白了！悬疑推理有bug，结局处理太草率，女孩被性侵太揪心。不过，陈冲的演出太强大了，几乎可以媲美容嬷嬷！,77,北京,一个非专业的电影爱好者！
行所在,https://www.douban.com/people/roczhen/,较差,2019-12-12 09:20:26,翻拍国外的片子，故事依然发生在国外，这也是中国式奇葩,70,北京,无签名
筱桑,https://www.douban.com/people/68023776/,推荐,2019-12-11 00:01:17,结尾的忏悔自首毁所有。4星全给前面，就当我没看过结局。,227,"Baghdād, Iraq",无签名
江南小野田,https://www.douban.com/people/CrazyAmazing/,较差,2019-12-08 15:58:51,罔顾调查原则&激情办案&shitty end,39,中国香港,Too much heaven
不脱袜子同学,https://www.douban.com/people/lelio/,推荐,2019-12-10 22:52:26,真是一部很适合豆瓣影迷的电影，看完之后大胆设想，要是以后警察办案真的要查观影记录了，该咋整呢😂不喜欢首映上蒋方舟的点评，她说觉得平平（陈冲的女儿许文珊饰）长得挺壮的应该能轻松制服素察，此刻的蒋老师仿佛变成了她曾经吐槽过的油腻直男，对年轻女性的身材指手画脚，永远不要从受害者身上找问题。而且，这还是部电影呀！请让电影回归电影，把话语权还给影迷，以后看电影多做笔记，记好知识点！,161,北京,飞向太空，宇宙无限
陆支羽,https://www.douban.com/people/luzhiyu/,推荐,2019-12-10 22:57:41,1.难得有一部犯罪悬疑片能跟迷影精神命脉相连，这固然离不开原作的品质，但国产改编能够抵达这样的水准已属上乘。2.角色无大小，谭卓真的演活了一个表面细腻隐忍、内心波涛暗涌的女性角色；戏份不多，却闪着弧光，尤其是她跟陈冲飙戏时说出的那句“有的孩子是孩子，有的孩子是禽兽”，完美展现了一位看似懦弱胆小的母亲，是如何在家庭命运的关键时刻出离愤怒、捍卫尊严的。3.陈冲则依然充分施展了她的神演技，而肖央同样经历了一场蜕变。,222,北京,死前看大海，是每个灵魂的夙愿。
影君子,https://www.douban.com/people/49307046/,很差,2019-12-12 15:28:07,1、此片的核心情节是男主利用所谓蒙太奇的手法（就是时间点和事件的错位拼接），给证人造成自己一家人案发时间不在现场的错觉，从而让证人不自觉地作了伪证，帮助男主一家洗脱杀人嫌疑。但这一桥段漏洞百出，根本无法让人信服（警方只听口供，不查物证？从客车售票员、蛋糕店老板娘，到酒店前台、拳场小贩，所有目击证人记忆力都不好？），作为犯罪悬疑片是完全失败的。2、电影把故事背景放在泰国，想以此规避电检，但全片又基本都是华人演员和中文对白，显得不伦不类。3、结尾更是又当又立的典型，男主憎恶坏警察，费尽心机要逃掉牢狱之灾，最后却被几滴鳄鱼泪感动得主动自首，只能叹编导把观众想得太蠢。4、除了陈冲稍好，其他人的表演都很脸谱化，尤其是大女儿和坏警察，实在是尬演。,68,四川成都,无签名
七杀场,https://www.douban.com/people/ximumu/,较差,2019-12-10 22:43:33,比之前的几部翻拍已经好很多了…但还是看的很不舒服…总感觉这种算不上电影…撑死了一山寨Cosplay…以往的黑白老电影，希区柯克那些，不有好些呢吗，买个骨架回来再创造呗，非要原封不动的搞个新的，连镜头都弄得大差不差有意思吗…ps：陈冲真绝！要是中国本土原创能有这样的角色，中国大龄女演员何愁拍不到戏！,36,北京,开心就笑，不开心就过会儿再笑。
路人Eita,https://www.douban.com/people/wind_field/,还行,2019-12-12 14:24:17,其实还是漏洞百出，例如那个连夜赶回的的士司机就能很轻易地成为破绽。演技加分。3.5星。,43,广东广州,山中無歲月，春盡不知年
武侠小王子,https://www.douban.com/people/china-undead/,推荐,2019-12-07 10:08:31,"一场因身份差异而引发的误杀，电影在事件背后所展现的阶层对立、正义缺失以及公权私用，或许更让人触目惊心。

公权力左右下的正义举步维艰，其实比起电影案件所引发的戏剧冲突，背后关于正义的声讨更能动人心扉。

尤其在一个混乱之地，公平正义成为了每一个平民穷极一生争取的生存底线。电影中则把对立冲突渲染到了最大化。

电影在肖央陈冲谭卓的共同努力下，《误杀》饱满深情，不失为一部诚意之作。",370,江苏南京,云在青天，水在瓶。
Clyde,https://www.douban.com/people/chenhuayang/,还行,2019-12-14 18:51:21,“如果你看过一千部电影，这个世界也就没有什么离奇的事情了。”我的观影量已是李伟杰的五倍，仍然觉得现实比电影更离奇，更有想象力。如果推理不只是推理，与魔幻现实主义结合，该片必定能再上一个台阶。,27,广东深圳,http://t.sina.com.cn/clyde84
水浒三国金刚,https://www.douban.com/people/3322566/,推荐,2019-12-13 14:26:09,李维杰一定是豆瓣阅片量两万部的大神,74,浙江绍兴,2019年目标:330部电影
Jeannels,https://www.douban.com/people/92468807/,立荐,2019-12-10 23:05:38,“查下他最近一个月的观影记录。”,21,四川成都,没有活路的时候，他们就去跳舞。
咱说,https://www.douban.com/people/Uvo/,推荐,2019-12-14 16:29:35,"7分，爽片。所以国产电影规避风险的新思路就是把不宜在国内发生的剧情都设定在海外华人聚居区进行，还可以避免港台演员口音上的尴尬。不过用华人来演非华人的做法，就如同用好莱坞早年的“洗白”，是不正常的，何况结尾还是免不了要符合审查要求。

另外很想吐槽的是，现在一部国产电影的联合出品方越来越多，片头出现长达一两分钟审美很渣配乐各异的各家电影公司logo动画的过程真的非常败兴，各家是专门来比丑的吗？【广百金逸】",46,未知,无签名
玫瑰色的你,https://www.douban.com/people/fsisme/,较差,2019-12-22 14:55:50,看到结尾的时候坐我旁边的女士问了她男友两个直击人心的问题：他为什么要自首啊？他既然要越狱自首干什么啊？是啊这是为什么啊？？？？你说你为了审查加句字幕我也认了，你居然还用了10分钟把自首过程拍出来了，还拍的这么感人，那前面那90分钟不都白折腾了吗？？？,39,天津,我的心是一杯调和过的咖啡
Jo-King,https://www.douban.com/people/65810972/,较差,2019-12-11 21:01:55,没完没了的慢镜真是煎熬……亮点是最后的民运民意，而唯一笑点是破案靠查观影记录哈哈哈哈哈哈哈哈哈,27,浙江杭州,无签名
西楼尘,https://www.douban.com/people/xilouchen/,还行,2019-12-23 15:25:51,越是呼唤正义，越无法直面真相。棺材盖上的指印，佛寺里逡巡的山羊，试卷上涂改的分数，都在叩问着善恶天平。埋进棺材的活人，用来赎罪的佛塔，错位的观影用途，都被困顿进人心困局。建多高赎罪佛塔，都高不过良心。看多少犯罪电影，都看不完人心。如果法律不能保护我们，就拿肉身与谎言挡在你们前面。,21,江苏苏州,我们能不能停下不看电影
荔枝超人,https://www.douban.com/people/richer725/,较差,2019-12-18 19:17:34,一部犯罪片，将犯罪过程拍得再热闹再“好看”，最后为了审查却让实施者自首收场（试想肖申克救赎男主最后领悟到逃狱不对跑去自首或被警察抓回监狱），搞不懂这有什么意思，志在抢钱吗。,16,未知,拉赫骂你懦夫
刘小黛,https://www.douban.com/people/darlingtudai/,推荐,2019-12-08 21:32:21,印度电影改编翻拍，高概念反杀片，题材新锐，故事紧张，伏笔丰富。肖央用眼神演戏，谭卓和陈冲演技突出。背景架空，有很多值得玩味之处。高智商犯罪，推理过程连续烧脑，衬亲情之味。警察制度社会生态方面针砭时弊。结局秦沛采访一幕，饶有余韵。,231,江苏无锡,美酒醇妇庶几完满。
王俊俊,https://www.douban.com/people/57604339/,较差,2019-12-18 00:03:10,自首情节真的莫名其妙。,15,湖北襄阳,悉达多的魔灯
二十二岛主,https://www.douban.com/people/48369193/,推荐,2019-12-11 11:32:31,非常喜欢原版的故事，只要按照原版的节奏走，新版就不会太差。没想到在这个基础上还有一些延伸的惊喜，对剧本细节的适当删减与补充很恰当，在去掉印度特色的歌舞之后，使得故事的节奏明显更加紧凑。演员选的也很到位，尤其是陈冲的表演气场完全不输于原版的警察局长。除此之外，新版改编的还包括了分别从对立的两方来讲述各自对于自己家庭的一种重构与守护，更加具有人情味。至于结局，也还在可以接受的范围内，毕竟在当下这个环境，可以理解啦。,45,,无签名
Aizl,https://www.douban.com/people/200050810/,很差,2019-12-09 10:11:07,毫无新意的翻拍。剧情直接抄袭印度电影《误杀瞒天记》。大陆版如果内容本身如果发生在国内，肯定不会过审，于是乎，与印度版唯一的区别就是，本国人去到了外国，所以变成了泰国警察。。。。。,52,未知,无签名
小楼。,https://www.douban.com/people/4773109/,较差,2019-12-15 00:45:00,印度版其实不难改，缩短点就行了，本土化做得很规矩，但审查结局把原主题降到普通类型片的水准。其实故事里起到最大作用的是独立的媒体和群众，其次是民选，再次才是个人的智慧，从这个角度我们可以知道H的废青们想要的是什么。看完后听到一家人讨论，妈妈教育儿子说这个故事告诉我们小孩发生任何事都要回家告诉家长，那个女孩如果告诉了爸爸，就不至于有后面这些事；小孩问说了坏人也要发视频啊；妈妈说他们不敢，告诉了我们一起想办法，起码不至于跟电影里一样去杀人；小孩问我要是也被欺负了你要怎么办呢？爸爸答我们想办法呀；小孩咕嘟了一下嘴。我倒是挺想知道依照这样的教育，这家人到底有何高见，能想出什么办法。,16,北京,怀抱既然不能逗留。
爆破鬼才斐尼甘,https://www.douban.com/people/73863255/,推荐,2019-12-11 00:02:02,在过审的死框架里算是努力做到最好了。,71,四川成都,无签名
巴伐利亞酒神,https://www.douban.com/people/darkwood/,推荐,2019-12-12 12:57:21,“给我去调查他的观影记录！”全场笑炸了。,27,上海,无签名
法兰西胶片,https://www.douban.com/people/flxjp/,推荐,2019-12-15 09:29:33,三星半。看的午夜场，真爽到了。视听上有粗糙的地方，但它的愉悦感更罕见，首先是它有个地域同化性的预设前提，就从《泰囧》到《唐探》再到这部《误杀》，主角的语言环境与真正的国人是趋同的，主角一家无法参与当地政治，你仍可以把他们的一切意识判断按“领土不可分割的一部分”这个思路走，这样一来，电影老带感了。迷影的元素除了博取电影消费者好感，同时它也暗示着我们整日困扰的审核机制与通过“剪辑智慧”予以反抗的对位关系。简单说，这就是关于表达中国当下的电影，谭卓那句洞穿全片的“谏言”分明就是说给当下的我们听的，这是中国的议题。爽点就在这了。,20,北京,一愉悦就伴随着痛苦。
维城乱马,https://www.douban.com/people/weichengluanma/,推荐,2019-12-13 12:51:43,《The Yang Xiao Redemption/肖央的救赎》。果然是一个只能发生在国外的故事，毕竟在中国的电影院里，正义从来都不会缺席，更别提迟到。对了，怎么才能快速删除在豆瓣看过的犯罪片观影记录，在线等，挺急的！,30,云南昆明,修身持志 怡情养性 宁静致远
张大水,https://www.douban.com/people/1693422/,推荐,2019-12-22 21:43:55,调查观影记录的时候，应该植入一个豆瓣的软广。,13,湖北武汉,无签名
孟浪,https://www.douban.com/people/hjt8844/,还行,2019-12-15 12:33:42,赛国变重庆，姜皓文陈冲分别代换为薄熙来和谷开来，原来讲的是一切为了傻儿子薄瓜瓜的故事，不得不佩服这个导演的高级黑水准。其实片子和悬疑惊悚的关系不大，基本就是一个照猫画虎的推理案件搬演，导演的视听思维很有限，还停留在初入行的那三板斧之上（慢镜、平行剪辑、音乐），对演员的摆布也有点失控，虚拟时空但又利用第三国文化背景的做法既做作又鸡贼，让人有一种不适感。,22,北京,勤耕耘无多有少，苦读书不圣亦贤
惘然,https://www.douban.com/people/wangranran/,推荐,2019-12-03 16:19:27,"三星半吧！
翻拍自印度电影，原作并不以推理探案见长，而是揭示警察系统刑讯逼供滥用职权欺压民众等陋习，是印度良心之作。而我们只能将故事背景设置去了架空的国度，主创们也是煞费苦心啊…
既然看的不是推理，那主要就是比拼正反两派演员的表演能带动观众层层推进故事情节了。选陈冲很厉害，她的强大气场迅速就将角色立住。而与之对决的肖央选择以静制动，看似不动声色就接住了陈冲的戏，谭卓则是以激烈对激烈……
不过我最爱的还是老戏骨秦沛的表演，平实自然功力深厚，片尾那欲言又止的表情和含义丰富的眼神真的是意味深长呀意味深长！",9,江苏南京,总在半夜醒来，又在黎明睡去……
居无间,https://www.douban.com/people/juwujian/,还行,2019-12-11 18:56:48,改编自带原罪，想夸，夸的基本都是原版。线索介绍和节奏把控都挺成熟。故事最精彩之处是视角，聚焦处于底层的受害者一家，去挑战上流阶层，这一下抓住了观众的同情心。它让观众参与进来，同呼吸共命运，跟着做一件「不法的正义之举」，这胜利是一场共谋，是情绪的宣泄。小女儿的人设不错，这不安定因素，提高了整个局的紧张度。羔羊的符号用得也可以，让悬疑以外的阶层之战像那么回事（《天才枪手》也在点题）。陈冲的表演是亮点，呈现出了母亲的关切与脆弱，以及警察局长的威严与气场。,17,上海,寄托，虚无。
张奎文,https://www.douban.com/people/183447121/,力荐,2019-12-13 19:37:55,"优异成绩换来的交流资格，纨绔子弟难得的交媾机会。父亲在外出差办事，女儿在家遭遇不测；用铲子将其打晕，用正义包装误杀。

《蒙太奇》教我如何重现完美犯罪；《控方证人》教我如何法律上申辩；《狩猎》教我如何去面对舆论压力；《七宗罪》教我如何对付警方调查。

把手机扔进卡车，把汽车沉入湖底，带全家人出门旅游只为制造不在场记忆链。

只要你看过一千部电影，你就会发现这世上没有离奇的事。有的只是人性的黑暗，有的只是制度的缺失，有的只是利益的交换……当这世界不再依靠法律与道德行事，我能做的也只有运用看过的电影，背对着我的家人，向权贵宣战。

当活羊重新出现，当寺院钟声再次响起，当小女儿拿着70分改成100分的试卷，我知道，我骗的了任何人，却骗不了自己。

生活不像电影，生活比电影难多了。",27,上海,无签名
朱古力,https://www.douban.com/people/zhuguli0613/,力荐,2019-12-08 16:03:38,没想到是这部拍出今年目前最好的高智力强刺激爆裂荷尔蒙类型电影，继承了港片当年的魂魄，巧妙选泰国语境做出我们一直想看的感官智力快感的电影，同时这的确又是唐探宇宙，由于观众太饥渴，我觉得票房可以突破二十亿，看的人要谨慎，冲击很强烈，没有什么门槛，你会被观演狠狠刺激各种体验，九星,32,广东广州,朱古力先生
萨库拉,https://www.douban.com/people/iisakura/,还行,2019-12-07 21:04:41,肖央演得不错，尤其演练审问凶完小女儿又心疼那场，陈冲再次自我刷新，谭卓跟陈冲对戏也很棒。我知道最后是升华到对抗公权，但是大家来看犯罪片真的可以不在乎犯罪过程吗？所谓的大招就是洗脑蒙太奇，简单得不敢相信。还是说情感和人物做扎实了就可以原谅？,20,中国香港,写字的
教授,https://www.douban.com/people/tanya3000/,推荐,2019-12-08 21:23:09,虽然都是老梗，但导演对紧凑的叙事节奏的把控（120分钟几乎没有什么过于尿点的地方）和演员的表演以及，以及人物表现和塑造都给电影本身加分不少。没有看过原版，但就本片而言我觉得可以算是质量上乘。结局魔改可以理解但从彩蛋也可以看出导演已经很努力了，并且这个彩蛋的表现手法还是蛮精妙的。,11,"Halifax, Canada",接私活，写字类的都可以
-公子阿鹤-,https://www.douban.com/people/133313016/,还行,2019-12-09 23:36:34,"千万别小看
骨灰级悬疑片影迷父亲，
和路边不知名字的山羊。
影片节奏很ok，演员表演很可，剧本整体不算差。但大家看着片名 《误杀》 就仿佛已知道了剧情，所以剩下想知道便是如何“瞒天过海”，如何“抽丝剥茧”。
但这两部分的处理都很仓促。
李维杰仅仅靠“蒙太奇”就让所有证人为自己作证了，看来唠嗑如此有助于记忆。
拉韫仅仅靠听部下讲几部电影梗概就基本破案了，这思考体系也太简略化了。
除此之外，“羊”的意象用得很好，
片名《Sheep Without a Shepherd》，本译就是失去了牧羊人的羊，也译为乌合之众。片中还出现了“揭棺替罪羊”，“窥罪领头羊”，“忏悔赎罪羊”的几次结合宗教与人性的铺垫，细节之处是可圈可点的。",21,江苏南京,无签名
